,Fighter,W/L,Event,Method,Round,Time,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec)
0,Danny Abbadi,loss,"UFC 63: Hughes vs Penn  Sep. 23, 2006",S-DEC,3.0,5:00,1200,0.0,56.0,146.0,0.38,79.0,173.0,0.46,0.0,0.0,N/A,0.0,0.0,N/A,110.0,0.0,58.0,159.0,0.36,101.0,208.0,0.49,1.0,7.0,0.14,1.0,0.0,0.0,123.0
1,Danny Abbadi,loss,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  Jun. 24, 2006",SUB  Rear Naked Choke,1.0,2:56,176,0.0,3.0,9.0,0.33,6.0,12.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,21.0,29.0,0.72,25.0,33.0,0.76,1.0,2.0,0.5,1.0,1.0,1.0,101.0
0,Nariman Abbasov,loss,"DWCS 6.7  Sep. 06, 2022",U-DEC,3.0,5:00,1200,0.0,45.0,225.0,0.2,45.0,225.0,0.2,0.0,2.0,0.0,0.0,0.0,N/A,21.0,1.0,85.0,158.0,0.53,85.0,158.0,0.54,1.0,3.0,0.33,0.0,0.0,N/A,6.0
0,David Abbott,loss,"EliteXC - Street Certified  Feb. 16, 2008",KO/TKO  Punches,1.0,0:43,43,0.0,1.0,13.0,0.07,1.0,13.0,0.08,0.0,1.0,0.0,0.0,0.0,N/A,N/A,2.0,13.0,24.0,0.54,13.0,24.0,0.54,0.0,0.0,N/A,0.0,0.0,N/A,N/A
1,David Abbott,loss,"Strikeforce - Tank vs. Buentello  Oct. 07, 2006",KO/TKO  Punch,1.0,0:43,43,0.0,4.0,10.0,0.4,11.0,18.0,0.61,0.0,0.0,N/A,0.0,0.0,N/A,N/A,1.0,9.0,14.0,0.64,9.0,17.0,0.53,0.0,0.0,N/A,0.0,0.0,N/A,N/A
2,David Abbott,loss,"PRIDE Final Conflict 2005  Aug. 28, 2005",SUB  Gi Choke,1.0,7:40,460,0.0,2.0,9.0,0.22,16.0,26.0,0.62,1.0,2.0,0.5,0.0,0.0,N/A,N/A,0.0,14.0,17.0,0.82,24.0,28.0,0.86,0.0,0.0,N/A,1.0,1.0,1.0,N/A
3,David Abbott,loss,"UFC 45: Revolution  Nov. 21, 2003",KO/TKO,1.0,2:14,134,0.0,11.0,26.0,0.42,17.0,33.0,0.52,0.0,0.0,N/A,0.0,0.0,N/A,84,1.0,13.0,24.0,0.54,19.0,30.0,0.63,0.0,0.0,N/A,0.0,0.0,N/A,7
4,David Abbott,loss,"UFC 43: Meltdown  Jun. 06, 2003",SUB  Arm Triangle,1.0,1:59,119,0.0,0.0,0.0,N/A,3.0,3.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112
5,David Abbott,loss,"UFC 41: Onslaught  Feb. 28, 2003",SUB  Toe Hold,1.0,0:46,46,0.0,1.0,5.0,0.2,2.0,6.0,0.33,0.0,0.0,N/A,0.0,0.0,N/A,38,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.5,0
6,David Abbott,loss,"UFC - Ultimate Brazil  Oct. 16, 1998",KO/TKO  Punch,1.0,8:07,487,0.0,16.0,48.0,0.33,31.0,69.0,0.45,1.0,2.0,0.5,0.0,0.0,N/A,N/A,2.0,24.0,35.0,0.68,49.0,63.0,0.78,0.0,0.0,N/A,0.0,0.0,N/A,N/A
7,David Abbott,win,"UFC 17: Redemption  May. 15, 1998",KO/TKO  Punches,1.0,0:43,43,0.0,11.0,16.0,0.68,11.0,16.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,1.0,1.0,1.0,1.0,3.0,0.33,0.0,0.0,N/A,N/A
8,David Abbott,win,"UFC - Ultimate Japan  Dec. 21, 1997",U-DEC,2.0,3:00,780,0.0,13.0,31.0,0.41,69.0,90.0,0.77,3.0,4.0,0.75,0.0,0.0,N/A,N/A,0.0,9.0,9.0,1.0,29.0,30.0,0.97,0.0,1.0,0.0,1.0,0.0,0,N/A
9,David Abbott,loss,"UFC 15: Collision Course  Oct. 17, 1997",SUB  Other,1.0,8:08,488,1.0,5.0,22.0,0.22,17.0,39.0,0.44,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,12.0,13.0,0.92,38.0,39.0,0.97,0.0,0.0,N/A,1.0,1.0,1.0,N/A
10,David Abbott,loss,"UFC 13: The Ultimate Force  May. 30, 1997",KO/TKO  Punches,1.0,0:52,52,0.0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,15.0,24.0,0.62,16.0,25.0,0.64,1.0,1.0,1.0,0.0,0.0,N/A,N/A
11,David Abbott,loss,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",SUB  Rear Naked Choke,1.0,1:22,82,0.0,13.0,28.0,0.46,16.0,32.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,18.0,0.33,6.0,18.0,0.33,0.0,0.0,N/A,2.0,1.0,0.5,N/A
12,David Abbott,loss,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",SUB  Rear Naked Choke,1.0,1:22,82,1.0,9.0,17.0,0.52,13.0,21.0,0.62,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,N/A
13,David Abbott,loss,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",SUB  Rear Naked Choke,1.0,1:22,82,0.0,4.0,9.0,0.44,9.0,17.0,0.53,0.0,1.0,0.0,1.0,0.0,0,N/A,0.0,5.0,7.0,0.71,16.0,22.0,0.73,0.0,0.0,N/A,0.0,0.0,N/A,N/A
14,David Abbott,win,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",KO/TKO  Punch,1.0,1:03,63,0.0,13.0,28.0,0.46,16.0,32.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,18.0,0.33,6.0,18.0,0.33,0.0,0.0,N/A,2.0,1.0,0.5,N/A
15,David Abbott,win,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",KO/TKO  Punch,1.0,1:03,63,1.0,9.0,17.0,0.52,13.0,21.0,0.62,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,N/A
16,David Abbott,win,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",KO/TKO  Punch,1.0,1:03,63,0.0,4.0,9.0,0.44,9.0,17.0,0.53,0.0,1.0,0.0,1.0,0.0,0,N/A,0.0,5.0,7.0,0.71,16.0,22.0,0.73,0.0,0.0,N/A,0.0,0.0,N/A,N/A
17,David Abbott,win,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",KO/TKO  Punches,1.0,2:51,171,0.0,13.0,28.0,0.46,16.0,32.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,18.0,0.33,6.0,18.0,0.33,0.0,0.0,N/A,2.0,1.0,0.5,N/A
18,David Abbott,win,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",KO/TKO  Punches,1.0,2:51,171,1.0,9.0,17.0,0.52,13.0,21.0,0.62,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,N/A
19,David Abbott,win,"UFC - Ultimate Ultimate '96  Dec. 07, 1996",KO/TKO  Punches,1.0,2:51,171,0.0,4.0,9.0,0.44,9.0,17.0,0.53,0.0,1.0,0.0,1.0,0.0,0,N/A,0.0,5.0,7.0,0.71,16.0,22.0,0.73,0.0,0.0,N/A,0.0,0.0,N/A,N/A
20,David Abbott,loss,"UFC 11: The Proving Ground  Sep. 20, 1996",U-DEC,2.0,3:00,780,0.0,21.0,50.0,0.42,27.0,56.0,0.48,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,60.0,94.0,0.63,180.0,216.0,0.83,0.0,1.0,0.0,0.0,0.0,N/A,N/A
21,David Abbott,loss,"UFC 11: The Proving Ground  Sep. 20, 1996",U-DEC,2.0,3:00,780,0.0,8.0,9.0,0.88,16.0,17.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,N/A
22,David Abbott,win,"UFC 11: The Proving Ground  Sep. 20, 1996",SUB  Forearm Choke,1.0,2:06,126,0.0,21.0,50.0,0.42,27.0,56.0,0.48,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,60.0,94.0,0.63,180.0,216.0,0.83,0.0,1.0,0.0,0.0,0.0,N/A,N/A
23,David Abbott,win,"UFC 11: The Proving Ground  Sep. 20, 1996",SUB  Forearm Choke,1.0,2:06,126,0.0,8.0,9.0,0.88,16.0,17.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,N/A
24,David Abbott,loss,"UFC - Ultimate Ultimate '95  Dec. 16, 1995",U-DEC,1.0,18:00,1080,0.0,3.0,6.0,0.5,11.0,16.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,57.0,65.0,0.87,233.0,253.0,0.92,1.0,2.0,0.5,0.0,0.0,N/A,N/A
25,David Abbott,loss,"UFC - Ultimate Ultimate '95  Dec. 16, 1995",U-DEC,1.0,18:00,1080,0.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A
26,David Abbott,win,"UFC - Ultimate Ultimate '95  Dec. 16, 1995",SUB  Neck Crank,1.0,1:14,74,0.0,3.0,6.0,0.5,11.0,16.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,57.0,65.0,0.87,233.0,253.0,0.92,1.0,2.0,0.5,0.0,0.0,N/A,N/A
27,David Abbott,win,"UFC - Ultimate Ultimate '95  Dec. 16, 1995",SUB  Neck Crank,1.0,1:14,74,0.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A
28,David Abbott,loss,"UFC 6: Clash of the Titans  Jul. 14, 1995",SUB  Rear Naked Choke,1.0,17:45,1065,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A
29,David Abbott,loss,"UFC 6: Clash of the Titans  Jul. 14, 1995",SUB  Rear Naked Choke,1.0,17:45,1065,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A
30,David Abbott,loss,"UFC 6: Clash of the Titans  Jul. 14, 1995",SUB  Rear Naked Choke,1.0,17:45,1065,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A
31,David Abbott,win,"UFC 6: Clash of the Titans  Jul. 14, 1995",KO/TKO  Punches,1.0,1:53,113,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A
32,David Abbott,win,"UFC 6: Clash of the Titans  Jul. 14, 1995",KO/TKO  Punches,1.0,1:53,113,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A
33,David Abbott,win,"UFC 6: Clash of the Titans  Jul. 14, 1995",KO/TKO  Punches,1.0,1:53,113,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A
34,David Abbott,win,"UFC 6: Clash of the Titans  Jul. 14, 1995",KO/TKO  Punches,1.0,0:20,20,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A
35,David Abbott,win,"UFC 6: Clash of the Titans  Jul. 14, 1995",KO/TKO  Punches,1.0,0:20,20,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A
