,Fighter,W/L,Event,Method,Round,Time,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec)
0,Sean Strickland,loss,"UFC 297: Strickland vs. Du Plessis  Jan. 20, 2024",S-DEC,5.0,5:00,1800,0.0,173.0,408.0,0.42,183.0,419.0,0.44,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,137.0,354.0,0.38,140.0,358.0,0.39,6.0,11.0,0.54,0.0,0.0,N/A,128.0
1,Sean Strickland,win,"UFC 293: Adesanya vs. Strickland  Sep. 09, 2023",U-DEC,5.0,5:00,1800,1.0,137.0,259.0,0.52,137.0,259.0,0.53,0.0,0.0,N/A,0.0,0.0,N/A,14.0,0.0,94.0,271.0,0.34,94.0,271.0,0.35,0.0,0.0,N/A,0.0,0.0,N/A,0.0
2,Sean Strickland,win,"UFC Fight Night: Strickland vs. Magomedov  Jul. 01, 2023",KO/TKO  Punches,2.0,4:20,860,1.0,81.0,188.0,0.43,81.0,188.0,0.43,0.0,0.0,N/A,0.0,0.0,N/A,10.0,0.0,47.0,101.0,0.46,47.0,101.0,0.47,1.0,2.0,0.5,0.0,0.0,N/A,23.0
3,Sean Strickland,win,"UFC Fight Night: Strickland vs. Imavov  Jan. 14, 2023",U-DEC,5.0,5:00,1800,0.0,182.0,405.0,0.44,194.0,420.0,0.46,1.0,1.0,1.0,0.0,0.0,N/A,252.0,0.0,123.0,269.0,0.45,131.0,277.0,0.47,0.0,1.0,0.0,0.0,0.0,N/A,12.0
4,Sean Strickland,loss,"UFC Fight Night: Cannonier vs. Strickland  Dec. 17, 2022",S-DEC,5.0,5:00,1800,0.0,152.0,400.0,0.38,157.0,410.0,0.38,1.0,1.0,1.0,0.0,0.0,N/A,48.0,0.0,141.0,310.0,0.45,141.0,310.0,0.45,0.0,0.0,N/A,0.0,0.0,N/A,0.0
5,Sean Strickland,loss,"UFC 276: Adesanya vs. Cannonier  Jul. 02, 2022",KO/TKO  Punches,1.0,2:36,156,0.0,15.0,29.0,0.51,15.0,29.0,0.52,0.0,0.0,N/A,0.0,0.0,N/A,0.0,1.0,25.0,40.0,0.62,25.0,40.0,0.62,0.0,0.0,N/A,0.0,0.0,N/A,3.0
6,Sean Strickland,win,"UFC Fight Night: Hermansson vs. Strickland  Feb. 05, 2022",S-DEC,5.0,5:00,1800,0.0,153.0,330.0,0.46,161.0,338.0,0.48,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,137.0,353.0,0.38,137.0,353.0,0.39,0.0,8.0,0.0,0.0,0.0,N/A,31.0
7,Sean Strickland,win,"UFC Fight Night: Hall vs. Strickland  Jul. 31, 2021",U-DEC,5.0,5:00,1800,0.0,186.0,428.0,0.43,221.0,472.0,0.47,4.0,6.0,0.66,0.0,0.0,N/A,422.0,0.0,107.0,258.0,0.41,122.0,273.0,0.45,0.0,0.0,N/A,0.0,0.0,N/A,0.0
8,Sean Strickland,win,"UFC Fight Night: Reyes vs. Prochazka  May. 01, 2021",U-DEC,3.0,5:00,1200,0.0,84.0,182.0,0.46,84.0,182.0,0.46,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,37.0,196.0,0.18,37.0,196.0,0.19,0.0,1.0,0.0,0.0,0.0,N/A,0.0
9,Sean Strickland,win,"UFC Fight Night: Felder vs. Dos Anjos  Nov. 14, 2020",KO/TKO  Punches,2.0,1:32,692,1.0,94.0,161.0,0.58,106.0,176.0,0.6,1.0,1.0,1.0,0.0,0.0,N/A,94.0,0.0,51.0,90.0,0.56,53.0,92.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,0.0
10,Sean Strickland,win,"UFC Fight Night: Hall vs. Silva  Oct. 31, 2020",U-DEC,3.0,5:00,1200,0.0,106.0,227.0,0.46,106.0,227.0,0.47,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,48.0,252.0,0.19,48.0,252.0,0.19,0.0,0.0,N/A,0.0,0.0,N/A,0.0
11,Sean Strickland,win,"UFC Fight Night: Oezdemir vs. Smith  Oct. 27, 2018",KO/TKO  Punch,2.0,3:10,790,1.0,65.0,177.0,0.36,68.0,180.0,0.38,0.0,0.0,N/A,0.0,0.0,N/A,37.0,0.0,48.0,95.0,0.5,49.0,96.0,0.51,0.0,0.0,N/A,0.0,0.0,N/A,0.0
12,Sean Strickland,loss,"UFC 224: Nunes vs. Pennington  May. 12, 2018",KO/TKO  Kick,1.0,3:40,220,1.0,15.0,58.0,0.25,18.0,63.0,0.29,0.0,1.0,0.0,0.0,0.0,N/A,6.0,0.0,14.0,36.0,0.38,14.0,36.0,0.39,0.0,0.0,N/A,0.0,0.0,N/A,0.0
13,Sean Strickland,win,"UFC Fight Night: Poirier vs. Pettis  Nov. 11, 2017",U-DEC,3.0,5:00,1200,0.0,78.0,254.0,0.3,109.0,288.0,0.38,3.0,3.0,1.0,1.0,0.0,0,163.0,0.0,62.0,260.0,0.23,104.0,309.0,0.34,0.0,11.0,0.0,0.0,0.0,N/A,101.0
14,Sean Strickland,loss,"UFC 210: Cormier vs. Johnson 2  Apr. 08, 2017",U-DEC,3.0,5:00,1200,0.0,27.0,103.0,0.26,30.0,108.0,0.28,0.0,0.0,N/A,0.0,0.0,N/A,0.0,1.0,90.0,171.0,0.52,117.0,200.0,0.58,2.0,8.0,0.25,0.0,0.0,N/A,488.0
15,Sean Strickland,win,"UFC 199: Rockhold vs. Bisping 2  Jun. 04, 2016",S-DEC,3.0,5:00,1200,0.0,73.0,207.0,0.35,77.0,211.0,0.36,0.0,2.0,0.0,0.0,0.0,N/A,18.0,0.0,62.0,153.0,0.4,62.0,153.0,0.41,0.0,3.0,0.0,0.0,0.0,N/A,11.0
