,Fighter,W/L,Date,Method,Round,Time,Method Code,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec),Opp. Fighter,Opp. Fighter Code,Target
0,Dustin Poirier,loss,2024-06-01,SUB,5.0,2:42,2,1662,0.0,74.0,183.0,0.4,104.0,218.0,0.48,0.0,0.0,N/A,0.0,0.0,N/A,30.0,0.0,88.0,156.0,0.56,147.0,222.0,0.66,5.0,16.0,0.31,2.0,1.0,0.5,623.0,Islam Makhachev,14,0
1,Dustin Poirier,win,2024-03-09,KO/TKO,2.0,2:32,0,752,1.0,28.0,34.0,0.82,30.0,37.0,0.81,0.0,1.0,0.0,4.0,0.0,0,31.0,0.0,50.0,74.0,0.67,69.0,97.0,0.71,3.0,7.0,0.42,1.0,0.0,0.0,293.0,Benoit Saint Denis,2,1
2,Dustin Poirier,loss,2023-07-29,KO/TKO,2.0,1:00,0,660,0.0,27.0,52.0,0.51,27.0,52.0,0.52,0.0,0.0,N/A,0.0,0.0,N/A,0.0,1.0,41.0,66.0,0.62,41.0,66.0,0.62,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Justin Gaethje,20,0
3,Dustin Poirier,win,2022-11-12,SUB,3.0,2:00,2,1020,0.0,38.0,76.0,0.5,63.0,105.0,0.6,0.0,0.0,N/A,2.0,1.0,0.5,47.0,0.0,43.0,100.0,0.43,65.0,135.0,0.48,3.0,7.0,0.42,0.0,0.0,N/A,339.0,Michael Chandler,23,1
4,Dustin Poirier,loss,2021-12-11,SUB,3.0,1:02,2,962,1.0,58.0,94.0,0.61,69.0,105.0,0.66,0.0,0.0,N/A,0.0,0.0,N/A,35.0,0.0,73.0,131.0,0.55,98.0,157.0,0.62,0.0,6.0,0.0,3.0,1.0,0.3333333333333333,341.0,Charles Oliveira,5,0
5,Dustin Poirier,win,2021-07-10,KO/TKO,1.0,5:00,0,300,0.0,36.0,66.0,0.54,36.0,66.0,0.55,1.0,2.0,0.5,0.0,0.0,N/A,198.0,0.0,27.0,38.0,0.71,43.0,54.0,0.8,0.0,0.0,N/A,1.0,0.0,0,0.0,Conor McGregor,6,1
6,Dustin Poirier,win,2021-01-23,KO/TKO,2.0,2:32,0,752,1.0,48.0,91.0,0.52,53.0,98.0,0.54,1.0,1.0,1.0,0.0,0.0,N/A,102.0,0.0,29.0,66.0,0.43,52.0,92.0,0.57,0.0,1.0,0.0,0.0,0.0,N/A,67.0,Conor McGregor,6,1
7,Dustin Poirier,win,2020-06-27,U-DEC,5.0,5:00,3,1800,0.0,153.0,231.0,0.66,208.0,289.0,0.72,1.0,7.0,0.14,4.0,0.0,0,169.0,0.0,155.0,253.0,0.61,182.0,283.0,0.64,4.0,9.0,0.44,0.0,0.0,N/A,362.0,Dan Hooker,8,1
8,Dustin Poirier,loss,2019-09-07,SUB,3.0,2:06,2,1026,0.0,12.0,39.0,0.3,30.0,57.0,0.53,0.0,0.0,N/A,1.0,0.0,0,0.0,0.0,22.0,41.0,0.53,54.0,77.0,0.7,7.0,8.0,0.87,2.0,1.0,0.5,532.0,Khabib Nurmagomedov,21,0
9,Dustin Poirier,win,2019-04-13,U-DEC,5.0,5:00,3,1800,0.0,178.0,381.0,0.46,180.0,383.0,0.47,1.0,8.0,0.12,0.0,0.0,N/A,215.0,0.0,181.0,446.0,0.4,208.0,473.0,0.44,0.0,0.0,N/A,1.0,0.0,0,6.0,Max Holloway,22,1
